Country,Elec_year,WVS_LR_MedianVoter,OECD,polity2,FH_Regime,GDP,Longevity
Nicaragua,2016,-99,-99,-99,-99,4910.0506,78.7
Netherlands,2017,5.5,1,10,2,49787.0728,81.9
Norway,2017,5.51,1,10,2,65389.177,82.4
Nepal,2017,-99,0,6,1,2741.4364,71.5
New Zealand,2017,5.73,1,10,2,36351.5747,81.8
Pakistan,2018,7.18,0,7,1,4939.78,68
Panama,2019,-99,-99,-99,-99,22674.399,79.4
Peru,2016,5.75,0,9,2,12793.4949,80.2
Philippines,2013,6.45,0,8,1,7942.5099,70.5
Papua New Guinea,2017,-99,0,5,1,3847.6524,61.1
Poland,2015,5.87,1,10,2,28785.5414,78.2
Portugal,2015,-99,1,10,2,28999.3731,81.3
Paraguay,2018,-99,-99,-99,-99,12067.5363,74.8
Romania,2016,5.7,0,9,2,24538.0776,75.5
Russia,2016,5.42,0,4,0,-99,71.1
Rwanda,2018,5.52,0,-3,0,1997.8592,68.3
Sudan,2015,-99,-99,-99,-99,-99,68.8
Singapore,2015,-99,0,-2,1,90091.4152,84
Solomon Islands,2014,-99,0,8,1,2149.825,63.6
Sierra Leone,2018,-99,-99,-99,-99,1421.4694,60
El Salvador,2018,6.3,0,8,2,7393.0067,75.8
Somalia,-99,-99,-99,-99,-99,-99,58
Serbia,2016,-99,0,-99,2,16049.2791,76.2
Sao Tome and Principe,2018,-99,0,-99,2,3033.393,-99
Suriname,2015,-99,0,5,2,13762.8019,71.6
Slovakia,2016,5.42,1,10,2,31226.4464,77.2
Slovenia,2018,5.07,1,10,2,32728.4012,81.1
Sweden,2018,5.45,1,10,2,47717.6647,82.4
Eswatini,2018,-99,0,-9,0,9439.2084,58.6
Syrian Arab Republic,2016,-99,0,-9,0,-99,69.8
Chad,2011,-99,-99,-99,-99,1746.4821,60.5
Togo,2013,-99,0,-2,1,1574.0204,63.1
Thailand,2014,6.05,0,-3,0,16904.6984,78.2
Tajikistan,2015,-99,0,-3,0,3061.0707,72.2
Turkmenistan,2018,-99,0,-8,0,17128.9853,70.5
Timor Leste,2018,-99,0,8,2,6795.5104,73.3
Trinidad and Tobago,2015,6.23,-99,-99,-99,28407.4737,73.4
Tunisia,2014,5.84,0,7,2,11094.0479,78
Turkey,2015,5.99,1,3,1,25357.7222,79.6
Taiwan,2016,5.64,-99,-99,-99,-99,-99
Tanzania,2015,6.75,-99,-99,-99,-99,65.5
Uganda,2016,5.55,-99,-99,-99,1808.4311,62.9
Ukraine,2014,5.42,0,4,1,-99,72.3
Uruguay,2014,5.2,-99,-99,-99,20916.1502,77.6
United States,2014,5.62,1,10,2,55719.12,79.1
Uzbekistan,2015,6.52,0,-9,0,7591.9867,70.5
Venezuela,2015,6.5,0,4,1,9401.6227,75.9
Viet Nam,2016,9.07,0,-99,0,6608.6217,74.9
Vanuatu,2016,-99,0,-99,2,2858.2024,64.3
Samoa,2016,-99,0,-99,2,5752.9932,-99
Yemen,2003,-99,-99,-99,-99,2284.9705,-99
South Africa,2014,5.86,0,9,2,12144.6942,63.5
Zambia,2016,6.68,-99,-99,-99,3747.9725,59.5
Zimbabwe,2013,4.74,0,4,0,2688.4069,60.2
