ID_GPS;Country;Partyname;Region;Type_Values;Type_Partysize_vote;V4_Scale;V6_Scale;V8_Scale;V10;V11;V12;V13;V14;V15;V16;V17;Elec_year;PartyPerVote;WVS_LR_MedianVoter;OECD;polity2;FH_Regime;GDP;Longevity
11;Albania;Democratic Party of Albania;1;4;3;5,714285714;5,125;7,111111111;4,666666667;7,444444444;4;8,375;2,909090909;2,5;5,333333333;8,333333333;2017;28,8;5,33;0;9;1;12316,0715;78
12;Albania;Libra Party;1;1;1;2,4;1,833333333;5,25;4,666666667;7,333333333;3;7,142857143;2,25;3;3,75;5,75;2017;1,2;5,33;0;9;1;12316,0715;78
13;Albania;Party for Justice, Integration and Unity;1;4;2;6;7,333333333;6,8;8;8,375;4;4,888888889;2,4;2,428571429;4;8,625;2017;4,8;5,33;0;9;1;12316,0715;78
14;Albania;Social Democratic Party of Albania;1;1;1;4,285714286;4;3,5;2;7,6;2,333333333;7;2,8;3;5;8,2;2017;0,9;5,33;0;9;1;12316,0715;78
15;Albania;Socialist Movement for Integration;1;3;3;5,375;3,875;7,5;4,666666667;6,888888889;5,5;7,714285714;2,545454545;2,5;6;9,3;2017;14,3;5,33;0;9;1;12316,0715;78
16;Albania;Socialist Party of Albania;1;3;3;6,4;1,875;7,111111111;2,75;2,5;4,75;8,555555556;2,083333333;2;6,5;8,916666667;2017;48,3;5,33;0;9;1;12316,0715;78
17;Argentina;Cambiemos;2;4;3;8;5,333333333;3,214285714;7,272727273;8;3,25;8,333333333;4,1;6,777777778;3,583333333;3,666666667;2017;41,7;5,65;0;9;2;18288,2446;77
18;Argentina;Citizen's Unity;2;1;3;3,076923077;3,5;8,916666667;2,8;2,384615385;6;2,818181818;2,307692308;3,125;6,857142857;6,444444444;2017;22,5;5,65;0;9;2;18288,2446;77
19;Argentina;Civic Front for Santiago;2;4;1;10;8,4;8,5;7;9,333333333;10;7;5,5;-99;9;9,333333333;2017;1,6;5,65;0;9;2;18288,2446;77
20;Argentina;Evolución;2;3;1;6,4;3,153846154;2,3;3,444444444;7,75;3,5;8,125;2,727272727;3,625;2,090909091;2,857142857;2017;1;5,65;0;9;2;18288,2446;77
21;Argentina;Front for the Renewal of Concord;2;4;1;10;8,5;9;-99;10;10;10;2;-99;6,5;10;2017;1,1;5,65;0;9;2;18288,2446;77
22;Argentina;Justicialist Party;2;4;3;6,25;5,857142857;8,153846154;5,666666667;3,111111111;6,333333333;3,5;4,571428571;4,333333333;6,285714286;6,75;2017;10,9;5,65;0;9;2;18288,2446;77
23;Argentina;Progressive, Civic and Social Front;2;1;1;4,1;2,363636364;2,444444444;2,25;6,230769231;3;8;1,555555556;3;1,333333333;2;2017;1,2;5,65;0;9;2;18288,2446;77
24;Argentina;Union for Córdoba ;2;4;1;8,666666667;7,777777778;5,166666667;7;9,2;7,333333333;6;4,5;-99;4,75;5,333333333;2017;2,6;5,65;0;9;2;18288,2446;77
25;Argentina;United for a New Alternative;2;4;2;7,75;5,714285714;6,125;6;7,142857143;5;3,2;3,75;3,333333333;5,6;6,4;2017;5,9;5,65;0;9;2;18288,2446;77
26;Argentina;Workers' Left Front;2;1;2;0,9375;1,75;6,7;2,4;2,071428571;1,666666667;2;1,416666667;1,3;5,25;1,714285714;2017;4,3;5,65;0;9;2;18288,2446;77
27;Armenia;Bright Armenia;1;3;1;7;4,111111111;3,666666667;4,333333333;5,875;3,833333333;8,25;2,555555556;2,875;1,454545455;2,5;2018;0,047;5,18;0;5;1;9177,7442;76
28;Armenia;My Step Alliance;1;3;1;5,166666667;3;8,555555556;1,875;6;2,666666667;8,857142857;2,4;2,555555556;1,909090909;2;2018;0,7042;5,18;0;5;1;9177,7442;76
29;Armenia;Prosperous Armenia;1;4;1;6,444444444;8,181818182;7,5;5;7,333333333;6,8;3,222222222;6,888888889;4,833333333;6,833333333;7,9;2018;0,0826;5,18;0;5;1;9177,7442;76
30;Australia;Australia Greens;5;1;3;1,857142857;1,285714286;2,636363636;1,818181818;1,461538462;0,615384615;8,181818182;1,153846154;2;2,076923077;2,4;2016;10,3;5,42;1;10;2;45377,7551;82,9
31;Australia;Australian Labor Party;5;1;3;3,5;3,083333333;2,428571429;4,571428571;2,636363636;3,4;7,555555556;1,769230769;3,090909091;2,153846154;3,125;2016;35,1;5,42;1;10;2;45377,7551;82,9
32;Australia;Independent;5;1;1;2;3,75;4,5;4,333333333;7,75;1,5;7;2;3;1,2;1;2016;2,8;5,42;1;10;2;45377,7551;82,9
33;Australia;Katters Australia Party;5;4;1;5;8,384615385;7,818181818;8,363636364;7,857142857;7,714285714;3,714285714;6,2;8,714285714;2,166666667;7,2;2016;0,5;5,42;1;10;2;45377,7551;82,9
34;Australia;Liberal National Party;5;4;2;7,636363636;7,818181818;5,1;7,3;8,428571429;7,625;5;3,5;6,333333333;2,8;6,166666667;2016;8,6;5,42;1;10;2;45377,7551;82,9
35;Australia;Liberal Party of Australia;5;4;3;7,818181818;7,5;4,818181818;7,181818182;7,857142857;5,857142857;5,3;3,25;5,666666667;2,3;5,2;2016;29;5,42;1;10;2;45377,7551;82,9
36;Australia;National Party of Australia;5;4;2;7,1;8;5,25;7,7;7;7,75;4,7;4,666666667;6,777777778;2,9;7;2016;4,7;5,42;1;10;2;45377,7551;82,9
37;Australia;Nick Xenophon;5;1;1;3,2;2,428571429;3,571428571;2;5,6;1,6;7;1,75;2,111111111;1,2;2,142857143;2016;1,9;5,42;1;10;2;45377,7551;82,9
38;Austria;Austrian People's Party;5;4;3;7,333333333;7,684210526;6,769230769;8,952380952;8,083333333;5,545454545;4,538461538;5,090909091;5,363636364;3;7,615384615;2017;31,2;5,11;1;10;2;46260,3824;81,8
39;Austria;Freedom Party of Austria;5;4;3;7,2;8,05;9;9,80952381;7,133333333;7,944444444;0,8;8,533333333;8,894736842;7,789473684;8,722222222;2017;25,7;5,11;1;10;2;46260,3824;81,8
40;Austria;NEOS – The New Austria ;5;3;2;8,277777778;2,631578947;2,25;3,266666667;8,076923077;3,222222222;9,105263158;1,4;1,611111111;1,142857143;1,375;2017;5,2;5,11;1;10;2;46260,3824;81,8
41;Austria;Peter Pilz List ;5;1;2;2,615384615;2,285714286;3,777777778;5,727272727;5,833333333;2,615384615;8,833333333;2,333333333;2,363636364;1,846153846;1,928571429;2017;4,4;5,11;1;10;2;46260,3824;81,8
42;Austria;Social Democratic Party of Austria;5;1;3;3,368421053;2,928571429;3,352941176;5,071428571;2,476190476;3,285714286;7,058823529;1,842105263;2,6;2,1;4,307692308;2017;26,6;5,11;1;10;2;46260,3824;81,8
43;Austria;The Greens – The Green Alternative;5;1;2;2,736842105;1,45;1,85;2;2,5;0,857142857;8,666666667;0,619047619;0,8;0,952380952;1,1;2017;3,8;5,11;1;10;2;46260,3824;81,8
44;Azerbaijan;Independents;1;0;1;-99;-99;10;-99;0;1;-99;0;0;10;10;2015;0,405;5,93;0;-7;0;16010,989;72,3
45;Azerbaijan;New Azerbaijan Party;1;0;1;0;-99;10;-99;0;1;-99;0;0;10;10;2015;0,472;5,93;0;-7;0;16010,989;72,3
46;Burundi;Front for Democracy in Burundi;4;4;3;7;6;5,5;1;9;1;8,5;2;2;0;1;2015;13,9;-99;0;-1;0;660,3303;61,1
47;Burundi;National Council for the Defense of Democracy;4;0;3;-99;7;-99;-99;10;-99;0;4;-99;10;10;2015;74,8;-99;0;-1;0;660,3303;61,1
48;Burundi;Union for National Progress;4;2;2;1;8;2;9;6;2;2;3,5;0,5;4;7;2015;3,1;-99;0;-1;0;660,3303;61,1
49;Belgium;Christian Democrats and Flemish;5;4;3;8;7;2,6;6,333333333;6;4,2;6,777777778;3;4,2;1,727272727;4,571428571;2014;11,6;-99;1;8;2;43582,1284;81,2
50;Belgium;Flemish Interest;5;4;2;5,375;8,5;9,25;9;5,125;8,7;0,5;6,4;9,727272727;8,333333333;5,25;2014;3,7;-99;1;8;2;43582,1284;81,2
51;Belgium;Francophone Reformist Movement;5;3;2;7,25;3;3,272727273;7;7,8;5,2;8,25;2,1;4,166666667;1,8;4;2014;9,6;-99;1;8;2;43582,1284;81,2
52;Belgium;Green;5;1;2;3,181818182;2,083333333;2,181818182;2,166666667;2,916666667;0,416666667;8,583333333;0,916666667;1,545454545;1,333333333;2,333333333;2014;5,3;-99;1;8;2;43582,1284;81,2
53;Belgium;Humanist Democratic Centre;5;2;2;3,8;5,8;2,777777778;3;5,571428571;3,666666667;7,555555556;2,875;3,5;1,727272727;3,75;2014;5;-99;1;8;2;43582,1284;81,2
54;Belgium;New Flemish Alliance;5;4;3;8,272727273;6,545454545;7,857142857;8,416666667;8,25;8;1,6;3,875;8,454545455;5,111111111;4,142857143;2014;20,3;-99;1;8;2;43582,1284;81,2
55;Belgium;Open Flemish Liberals and Democrats;5;3;2;7,75;3,3;2,727272727;7;7,727272727;4,857142857;7,444444444;1,818181818;4,2;1,666666667;3;2014;9,8;-99;1;8;2;43582,1284;81,2
56;Belgium;Socialist Party;5;1;3;2,25;2,727272727;3,222222222;3,222222222;2,583333333;3,454545455;7,4;1,916666667;2,8;1,818181818;4,375;2014;11,7;-99;1;8;2;43582,1284;81,2
57;Belgium;Socialist Party Differently;5;1;2;3,4;3;2,444444444;4,25;3,818181818;2,888888889;7,666666667;1,909090909;3,111111111;1,545454545;3,428571429;2014;8,8;-99;1;8;2;43582,1284;81,2
58;Belgium;Worker's Party;5;1;2;0,666666667;3,555555556;8;2,25;1;2,666666667;6;1,777777778;1,875;4,9;3,125;2014;3,7;-99;1;8;2;43582,1284;81,2
59;Benin;Alliance nationale pour le developpement et la democratie;4;0;2;-99;3;4;-99;-99;-99;-99;7;-99;4;-99;2015;7,6;-99;0;7;2;2151,5432;65
60;Benin;Alliance pour un Benin triomphant;4;3;1;8;4,5;-99;-99;3;-99;-99;-99;-99;7;-99;2015;2,9;-99;0;7;2;2151,5432;65
61;Benin;Alliance Soleil;4;0;2;-99;3;-99;-99;4;-99;-99;7;-99;4;7;2015;6,7;-99;0;7;2;2151,5432;65
62;Benin;Build the Nation Union;4;0;3;7;-99;-99;-99;-99;-99;-99;-99;-99;4;-99;2015;14,3;-99;0;7;2;2151,5432;65
63;Benin;Cauri Forces for an Emerging Benin;4;0;3;7;-99;8;-99;7;-99;-99;7;-99;4;7;2015;30,2;-99;0;7;2;2151,5432;65
64;Benin;Eclaireur;4;0;2;4;-99;7;-99;4;-99;-99;-99;-99;4;-99;2015;3,7;-99;0;7;2;2151,5432;65
65;Benin;Forces democratiques unies;4;1;2;4;4;7;-99;4;-99;-99;-99;-99;4;-99;2015;4;-99;0;7;2;2151,5432;65
66;Benin;Party of Democratic Renovation;4;0;3;-99;-99;4;-99;-99;-99;-99;-99;-99;4;-99;2015;14;-99;0;7;2;2151,5432;65
67;Benin;Renaissance du Benin-Reveil Patriotique;4;0;2;-99;-99;4;-99;-99;-99;-99;-99;-99;4;-99;2015;7,1;-99;0;7;2;2151,5432;65
68;Benin;Union for Benin;4;1;2;4;3;-99;-99;-99;-99;-99;-99;-99;-99;-99;2015;3,4;-99;0;7;2;2151,5432;65
69;Burkina Faso;Alliance for Democracy;4;4;3;7,5;8;1;-99;9,25;2,5;8,5;4;3;4;8;2012;11,2;4,66;0;0;1;1761,2348;61,6
70;Burkina Faso;Congress for Democracy and Progress;4;2;3;3;8,333333333;3,5;-99;8,25;3;8,5;3;3;7;8,25;2012;48,7;4,66;0;0;1;1761,2348;61,6
71;Burkina Faso;Convention of the Democratic Forces;4;0;1;-99;8;2;-99;10;-99;-99;-99;-99;-99;7;2012;2,4;4,66;0;0;1;1761,2348;61,6
72;Burkina Faso;Organisation for Democracy and Labour;4;2;1;1;7,5;5;-99;8,2;-99;2;-99;-99;3;7;2012;2,1;4,66;0;0;1;1761,2348;61,6
73;Burkina Faso;Party for Democracy and Socialism;4;2;2;1,6;5;1,333333333;4;5,2;1,5;6;3;1;1,666666667;4,333333333;2012;3,9;4,66;0;0;1;1761,2348;61,6
74;Burkina Faso;The Other Burkina Faso;4;2;1;4,666666667;7,75;5,666666667;-99;9,4;-99;10;-99;7;-99;8;2012;1,3;4,66;0;0;1;1761,2348;61,6
75;Burkina Faso;Union for Democracy and Development;4;4;1;7;8;1;-99;8,2;-99;10;-99;-99;-99;7,5;2012;1,5;4,66;0;0;1;1761,2348;61,6
76;Burkina Faso;Union for Progress and Change;4;4;3;8;6,666666667;1;-99;9,25;2,5;8;3,333333333;2;2;6;2012;11,1;4,66;0;0;1;1761,2348;61,6
77;Burkina Faso;Union for Rebirth-Sankarist;4;1;2;2;4,666666667;4,5;4;5;2;6,25;3;1;1,75;5;2012;4,4;4,66;0;0;1;1761,2348;61,6
78;Burkina Faso;Union for the Republic;4;4;2;7;8;2;-99;8,6;-99;-99;-99;-99;4;7;2012;3,1;4,66;0;0;1;1761,2348;61,6
79;Bangladesh;Bangladesh Awami League;6;1;3;3,833333333;3,5;7,625;5,833333333;3;5,25;7,333333333;2,333333333;2,25;8;9;2014;79,1;7,26;0;1;1;3879,1615;73,4
80;Bangladesh;Bangladesh Nationalist Party;6;4;-99;5,6;6,8;5,625;3,5;6,333333333;6;4,833333333;4;4,333333333;5,833333333;7,833333333;2014;-99;7,26;0;1;1;3879,1615;73,4
81;Bangladesh;Bangladesh Tarikat Federation;6;4;-99;7,2;9,5;8;6;7,857142857;3;4,4;7,333333333;7;8;8,666666667;2014;-99;7,26;0;1;1;3879,1615;73,4
82;Bangladesh;Jatiya Party;6;3;3;6,833333333;4,5;7,857142857;6,4;2,4;3,5;7,25;2,6;4,166666667;7,375;8,142857143;2014;11,3;7,26;0;1;1;3879,1615;73,4
83;Bangladesh;Jatiya Party  (Manju);6;3;-99;7,857142857;4,714285714;8;6,666666667;6,4;7;7;3,75;4,333333333;7,2;9;2014;-99;7,26;0;1;1;3879,1615;73,4
84;Bangladesh;Jatiyo Samajtantrik Dal ;6;3;1;5,333333333;2,875;5,428571429;5,2;3,333333333;4,333333333;6,666666667;1,75;1;5,666666667;6,333333333;2014;1,7;7,26;0;1;1;3879,1615;73,4
85;Bangladesh;Worker's Party of Bangladesh;6;3;1;5,444444444;2,888888889;6,125;4,8;4;4,333333333;6,666666667;1,75;1,142857143;6,285714286;6,8;2014;2,1;7,26;0;1;1;3879,1615;73,4
86;Bulgaria;Bulgarian Socialist Party;1;2;3;2,666666667;7,714285714;7,125;7,875;1,777777778;3,8;2,375;4,857142857;2,666666667;6,428571429;1;2017;27,2;5,53;0;9;2;19320,7512;75,3
87;Bulgaria;Citizens for European Development of Bulgaria;1;4;3;6;5,428571429;6,428571429;7,5;6;5,5;5,625;3,4;2,6;6;7,714285714;2017;32,7;5,53;0;9;2;19320,7512;75,3
88;Bulgaria;Movement for Rights and Freedoms (DPS);1;1;2;4,4;4,875;4;4,6;4;5;7,625;4,166666667;0,444444444;5,714285714;8,25;2017;9;5,53;0;9;2;19320,7512;75,3
89;Bulgaria;United Patriots;1;2;2;2,857142857;9,666666667;9,444444444;10;4;8,285714286;0,25;8,125;9,777777778;9,25;6,714285714;2017;9,1;5,53;0;9;2;19320,7512;75,3
90;Bulgaria;Will;1;4;2;6,6;8,5;9,5;9,285714286;7,142857143;8,4;1,75;7,333333333;8;8,285714286;6,25;2017;4,1;5,53;0;9;2;19320,7512;75,3
91;Bahrain;National Islamic Al-Menbar;3;2;-99;2,5;10;8;8,5;9;10;3,5;9;9,5;10;9,5;2018;-99;-99;0;-10;0;41973,1129;77,2
92;Bahrain;Independents;3;2;-99;3;5,5;6;5,5;8,5;10;4;3;7,5;8,5;7;2018;-99;-99;0;-10;0;41973,1129;77,2
93;Bahrain;Islamic Al Asalah;3;2;-99;2;9,333333333;8;8,5;9;10;3,5;8,5;9,5;10;9,5;2018;-99;-99;0;-10;0;41973,1129;77,2
94;Bahamas;Democratic National Alliance;-99;2;-99;3;8;6,333333333;8,5;9,5;4;7;4;8;4;1;2017;-99;-99;0;-99;2;28472,2005;-99
95;Bahamas;Free National Movement;-99;2;3;4;7,666666667;8;8,666666667;5;2,333333333;7,666666667;-99;9;5,666666667;5;2017;57;-99;0;-99;2;28472,2005;-99
96;Bahamas;Progressive Liberal Party;-99;2;3;3;9;6;8;2,5;1;8;4;7;5,666666667;6;2017;36,9;-99;0;-99;2;28472,2005;-99
97;Bosnia and Herzegovina;Alliance of Independent Social Democrats;1;2;3;4,285714286;8,75;9,444444444;9,142857143;3,125;9,5;1,142857143;4;8;8,571428571;9,857142857;2018;14,65;5,09;-99;-99;-99;12711,8398;77,9
98;Bosnia and Herzegovina;Democratic Front;1;1;2;2,222222222;3;5,222222222;4,2;2,571428571;3,6;7,571428571;2,714285714;5;5,285714286;8,6;2018;5,31;5,09;-99;-99;-99;12711,8398;77,9
99;Bosnia and Herzegovina;Democratic People's Alliance;1;2;2;4;7,166666667;7,75;7,5;6,875;5;4,4;1,5;7,2;7;9,75;2018;3,82;5,09;-99;-99;-99;12711,8398;77,9
100;Bosnia and Herzegovina;HDZ-HSS-HSP-HNS-HKDU-HSP-AS BiH-HDU BiH;1;4;2;5;8,636363636;9;9;2,833333333;5,333333333;1,875;4,5;8,285714286;8,5;10;2018;8,27;5,09;-99;-99;-99;12711,8398;77,9
101;Bosnia and Herzegovina;Our Party;1;1;1;2,5;0,9;1,666666667;1,5;3,166666667;1,777777778;9,125;2,333333333;0,666666667;1,857142857;2;2018;2,68;5,09;-99;-99;-99;12711,8398;77,9
102;Bosnia and Herzegovina;Party of Democratic Action;1;2;3;4;9,181818182;8,428571429;8,666666667;2,571428571;7,666666667;2;4,75;8,5;9,4;9,625;2018;15,54;5,09;-99;-99;-99;12711,8398;77,9
103;Bosnia and Herzegovina;Party of Democratic Progress;1;2;2;3,666666667;7,333333333;7,4;8,333333333;6,666666667;4,5;4,5;2,25;6,2;4,666666667;9;2018;4,62;5,09;-99;-99;-99;12711,8398;77,9
104;Bosnia and Herzegovina;SDS-NDP-NS-SRS;1;2;2;3,5;8,6;8,5;8,5;3,857142857;6,5;1,333333333;2,75;7,833333333;6,857142857;8,714285714;2018;8,96;5,09;-99;-99;-99;12711,8398;77,9
105;Bosnia and Herzegovina;Social Democratic Party of Bosnia and Herzegovina;1;1;2;2,111111111;2,888888889;3,875;4,25;1,833333333;3,666666667;7,571428571;3;5;4,5;8,333333333;2018;8,23;5,09;-99;-99;-99;12711,8398;77,9
106;Bosnia and Herzegovina;Union for a Better Future of BiH;1;4;2;5,75;8,571428571;8;5,666666667;6;6,5;5,428571429;2,666666667;10;6;8,8;2018;3,81;5,09;-99;-99;-99;12711,8398;77,9
107;Belarus;Belarusian Patriotic Party;1;2;-99;0,333333333;10;9,666666667;-99;0,5;4,5;1,333333333;4;1;9,666666667;0;2016;-99;5,03;0;-7;0;17741,8622;73,8
108;Belarus;Communist Party of Belarus;1;2;-99;0;10;9,666666667;7;0,5;5;1,333333333;3,666666667;1;9,333333333;0;2016;-99;5,03;0;-7;0;17741,8622;73,8
109;Belarus;Liberal Democratic Party of Belarus;1;2;-99;1;9,666666667;9,333333333;4;1;4,5;1,333333333;4;1,5;9;1,5;2016;-99;5,03;0;-7;0;17741,8622;73,8
110;Belarus;Non-partisans;1;2;-99;3;8;9;-99;5,5;7;3;9;-99;9;-99;2016;-99;5,03;0;-7;0;17741,8622;73,8
111;Belarus;Republican Party of Labour and Justice;1;2;-99;0,333333333;10;9,666666667;4;0,5;4,5;1,333333333;4;1;9;0;2016;-99;5,03;0;-7;0;17741,8622;73,8
112;Belarus;United Civil Party;1;3;-99;8,333333333;3,666666667;2,333333333;0;8;1,666666667;9,333333333;0,5;1;0;4;2016;-99;5,03;0;-7;0;17741,8622;73,8
113;Belize;Others;-99;0;1;-99;8;9;9;10;6;6,5;8,5;10;9;10;2015;1,7;-99;0;-99;2;7673,6536;-99
114;Belize;People's United Party;-99;4;3;5;7,333333333;8;4;5,333333333;3,333333333;-99;5;3;7;8,5;2015;47,8;-99;0;-99;2;7673,6536;-99
115;Belize;United Democratic Party;-99;4;3;7,333333333;7,666666667;-99;8;5,5;3;5,5;8;5;8;7,5;2015;50,5;-99;0;-99;2;7673,6536;-99
116;Bolivia;Christian Democratic Party;2;4;2;7,6;8,571428571;5,75;6;6,857142857;4;5,333333333;6,666666667;6;3,333333333;3,333333333;2014;9,04;5,36;-99;-99;-99;6986,0465;74
117;Bolivia;Movement for Socialism;2;1;3;1,75;4;7,375;7,333333333;1,875;6,166666667;3;2,8;1,25;8,285714286;7,428571429;2014;61,36;5,36;-99;-99;-99;6986,0465;74
118;Bolivia;National Unity Front;2;4;3;7,333333333;7;3;7;6;4,333333333;5,666666667;2,5;4,75;3,5;2;2014;24,23;5,36;-99;-99;-99;6986,0465;74
119;Brazil;Brazilian Republican Party;2;4;-99;8,043478261;8,5;7,823529412;8,111111111;8,88;7,692307692;2,583333333;7,705882353;8,181818182;6,636363636;7,833333333;2018;-99;5,5;-99;-99;-99;14282,717;75,7
120;Brazil;Brazilian Socialist Party;2;1;-99;2,970588235;2,416666667;3,5;2,590909091;3,064516129;2,678571429;7,272727273;1,8125;1,821428571;2,333333333;3,033333333;2018;-99;5,5;-99;-99;-99;14282,717;75,7
121;Brazil;Democrats;2;4;-99;8,513513514;8,074074074;4,714285714;7,153846154;8,235294118;7,458333333;4,9;5,9;7,444444444;4,461538462;7,375;2018;-99;5,5;-99;-99;-99;14282,717;75,7
122;Brazil;Brazilian Democratic Movement;2;4;-99;6,1875;5,5;4,391304348;3,8;6,357142857;6,533333333;6,909090909;3,3125;3,9;4,304347826;7,347826087;2018;-99;5,5;-99;-99;-99;14282,717;75,7
123;Brazil;Progressive Party;2;4;-99;8,285714286;8,533333333;6,277777778;7,181818182;8,384615385;8;3,235294118;7,052631579;8,052631579;6,5;7,608695652;2018;-99;5,5;-99;-99;-99;14282,717;75,7
125;Brazil;Social Democracy Party;2;3;-99;5,75;3,590909091;3,64;3,944444444;7,130434783;5,285714286;6,681818182;3,15;3,941176471;3,578947368;4,772727273;2018;-99;5,5;-99;-99;-99;14282,717;75,7
128;Brazil;Social Liberal Party ;2;4;-99;8,885714286;9,714285714;8,757575758;8,555555556;8,428571429;9,310344828;1,192307692;8,814814815;9,333333333;8,892857143;8,52;2018;-99;5,5;-99;-99;-99;14282,717;75,7
129;Brazil;Workers' Party;2;1;-99;2,435897436;1,487179487;3,785714286;1,333333333;1,411764706;2,090909091;7,548387097;1;0,838709677;1,68;2,064516129;2018;-99;5,5;-99;-99;-99;14282,717;75,7
130;Barbados;Barbados Labor Party;2;3;3;5;2;6;3,666666667;7;2,333333333;7,5;2,5;2,666666667;3,5;5,5;2018;72,8;-99;0;-99;2;16463,5174;76,8
131;Barbados;Democratic Labor Party;2;4;3;7;7;7;8;1;4,666666667;1;2;4,666666667;3;7;2018;22,1;-99;0;-99;2;16463,5174;76,8
132;Bhutan;Bhutan United;6;1;1;4;4,75;4;8,5;2,666666667;1,333333333;8;2;5,5;4;2;2018;0,5495;-99;0;5;1;9347,8265;74,8
133;Bhutan;Peace and Prosperity;6;3;1;7;4,666666667;2;8,5;7;1,333333333;8;2;8;4;-99;2018;0,4505;-99;0;5;1;9347,8265;74,8
134;Botswana;Botswana Congress Party;4;3;3;5,857142857;4;5,333333333;4;4,333333333;1,5;5;3,5;2,5;3,6;5,333333333;2014;20,4;-99;0;8;2;16518,2334;66,9
135;Botswana;Botswana Democratic Party;4;1;3;4,666666667;4,8;6;4;4,5;4;9,2;3,6;4,75;3;5,333333333;2014;46,5;-99;0;8;2;16518,2334;66,9
136;Botswana;Umbrella for Democratic Change;4;1;3;4,5;4,2;7,4;5,5;4,333333333;1;5,25;4;4,4;3,6;5,666666667;2014;30;-99;0;8;2;16518,2334;66,9
137;Canada;Bloc Quebecois;5;1;2;3,416666667;2,583333333;3,928571429;6,636363636;3,785714286;2,538461538;6;2,066666667;4,923076923;2,692307692;4,666666667;2015;4,7;5,5;1;10;2;44078,0656;82,2
138;Canada;Conservative Party;5;4;3;7,142857143;7,5;5,090909091;7;7,6;7,571428571;4;6;4,285714286;3,428571429;5,090909091;2015;31,9;5,5;1;10;2;44078,0656;82,2
139;Canada;Green Party;5;1;2;2,4375;2,142857143;1,923076923;2,571428571;2,823529412;0,411764706;6,818181818;1,823529412;1,666666667;1,6;2,083333333;2015;3,5;5,5;1;10;2;44078,0656;82,2
140;Canada;Liberal Party;5;1;3;3,615384615;2,6;2;1,4375;2,4375;2,733333333;7,333333333;1,294117647;1,8125;1,461538462;3,428571429;2015;39,5;5,5;1;10;2;44078,0656;82,2
141;Canada;New Democratic Party;5;1;3;2,166666667;1,5;2,307692308;2;1,647058824;1,8;6,4;1,352941176;2,058823529;1,428571429;2,4375;2015;19,7;5,5;1;10;2;44078,0656;82,2
142;Switzerland;Christian Democratic People's Party;5;2;3;4,75;7,222222222;2,857142857;4;5,666666667;3,833333333;4,857142857;3;3,142857143;1,307692308;2;2015;11,5;5,33;1;10;2;59317,324;83,5
143;Switzerland;Conservative Democratic Party of Switzerland;5;4;2;7,333333333;8,1;4,888888889;7,333333333;8,555555556;6;5,6;5,285714286;7;1,666666667;4;2015;4;5,33;1;10;2;59317,324;83,5
144;Switzerland;Evangelical People's Party of Switzerland;5;4;-99;5,4;7,916666667;3,375;6,5;6,727272727;3,875;4,6;5,428571429;5;0,777777778;2,666666667;2015;-99;5,33;1;10;2;59317,324;83,5
145;Switzerland;The Liberals;5;3;3;8,3125;3,25;3,071428571;5,181818182;7,9;5,111111111;6;2,636363636;4,8;1,307692308;3,2;2015;18,5;5,33;1;10;2;59317,324;83,5
